;2017;;;2018;;;2019;;;2020;;;2021;;;2022;;;2023;;
Barrio;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km
SAN ROQUE;217;2.10;9.40;229;2.22;9.92;175;1.69;7.58;156;1.51;6.76;249;2.41;10.78;168;1.63;7.28;42;0.41;1.82
SAN SALVADOR;8;0.38;1.47;5;0.24;0.92;11;0.52;2.02;10;0.47;1.84;20;0.95;3.67;11;0.52;2.02;7;0.33;1.29
SAN VICENTE;190;5.05;28.13;133;3.54;19.69;145;3.86;21.47;54;1.44;8.00;160;4.26;23.69;106;2.82;15.69;17;0.45;2.52
SANTA ANA;39;1.19;5.32;31;0.94;4.23;43;1.31;5.86;28;0.85;3.82;38;1.16;5.18;47;1.43;6.41;10;0.30;1.36
SANTA HELENA;60;2.31;18.30;93;3.58;28.36;70;2.70;21.35;25;0.96;7.62;13;0.50;3.96;29;1.12;8.84;13;0.50;3.96
SANTA MARIA;49;0.64;2.93;50;0.65;2.99;40;0.52;2.39;29;0.38;1.73;27;0.35;1.61;17;0.22;1.01;7;0.09;0.42
SANTA MONICA;41;4.07;19.95;32;3.18;15.57;21;2.09;10.22;4;0.40;1.95;35;3.48;17.03;26;2.58;12.65;1;0.10;0.49
SANTO DOMINGO DE GUZMAN;29;0.26;1.09;24;0.22;0.91;39;0.35;1.47;17;0.15;0.64;10;0.09;0.38;22;0.20;0.83;17;0.15;0.64
SANTODOMINGO;30;1.82;8.90;28;1.70;8.30;23;1.40;6.82;5;0.30;1.48;10;0.61;2.97;6;0.36;1.78;2;0.12;0.59
SECTOR DEL ACUEDUCTO;7;0.17;1.23;6;0.14;1.06;9;0.21;1.59;5;0.12;0.88;0;0.00;0.00;2;0.05;0.35;0;0.00;0.00
SECTOR INDUSTRIAL I - VIA 40;107;0.38;5.10;141;0.50;6.73;89;0.32;4.25;39;0.14;1.86;25;0.09;1.19;19;0.07;0.91;0;0.00;0.00
SECTOR INDUSTRIAL II - VIA 40;375;1.67;19.33;266;1.19;13.71;334;1.49;17.21;142;0.63;7.32;175;0.78;9.02;106;0.47;5.46;18;0.08;0.93
